Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Warangal,Nallabelly,0.0,16.1,29.3,48.9,100.0,0.0,8.4
2022-01-02,Warangal,Nallabelly,0.0,16.6,31.9,47.2,100.0,0.0,5.9
2022-01-03,Warangal,Nallabelly,0.0,14.7,30.6,41.9,100.0,0.0,5.6
2022-01-04,Warangal,Nallabelly,0.0,14.9,30.2,44.7,100.0,0.0,5.8
2022-01-05,Warangal,Nallabelly,0.0,16.1,31.3,44.7,100.0,0.0,4.4
2022-01-06,Warangal,Nallabelly,0.0,15.6,31.6,46.1,100.0,0.0,8.8
2022-01-07,Warangal,Nallabelly,0.0,15.8,32.7,38.5,94.2,0.0,9.2
2022-01-08,Warangal,Nallabelly,0.0,17.4,31.4,47.2,100.0,0.0,13.6
2022-01-09,Warangal,Nallabelly,0.0,18.8,31.6,46.6,99.1,0.0,14.1
2022-01-10,Warangal,Nallabelly,0.0,18.4,30.7,53.4,100.0,0.0,15.6
2022-01-11,Warangal,Nallabelly,5.4,18.2,31.0,50.9,100.0,0.0,12.5
2022-01-12,Warangal,Nallabelly,84.4,17.7,28.2,61.9,100.0,0.0,11.9
2022-01-13,Warangal,Nallabelly,11.8,19.5,26.7,72.3,100.0,0.0,7.1
2022-01-14,Warangal,Nallabelly,11.5,18.8,26.2,74.3,100.0,0.0,11.3
2022-01-15,Warangal,Nallabelly,5.4,18.9,31.1,60.0,100.0,0.0,14.2
2022-01-16,Warangal,Nallabelly,0.0,17.8,29.0,62.5,100.0,0.0,4.1
2022-01-17,Warangal,Nallabelly,0.0,19.0,26.0,73.2,100.0,0.0,4.5
2022-01-18,Warangal,Nallabelly,0.0,16.8,28.3,59.5,100.0,0.0,5.9
2022-01-19,Warangal,Nallabelly,0.0,16.2,30.2,48.4,92.2,0.0,10.3
2022-01-20,Warangal,Nallabelly,0.0,16.3,30.0,48.9,92.4,0.0,4.0
2022-01-21,Warangal,Nallabelly,0.0,18.0,31.6,41.2,90.0,0.0,9.3
2022-01-22,Warangal,Nallabelly,0.0,16.6,30.4,43.0,85.9,0.0,10.1
2022-01-23,Warangal,Nallabelly,0.0,19.5,32.2,41.2,99.6,0.0,14.4
2022-01-24,Warangal,Nallabelly,0.0,17.4,30.7,44.5,86.1,0.0,11.1
2022-01-25,Warangal,Nallabelly,0.0,16.4,27.8,45.0,82.7,0.0,7.9
2022-01-26,Warangal,Nallabelly,0.0,16.4,28.7,41.4,86.3,0.0,8.5
2022-01-27,Warangal,Nallabelly,0.0,16.4,28.4,44.3,77.6,0.0,5.7
2022-01-28,Warangal,Nallabelly,0.0,12.8,27.4,37.5,81.9,0.0,10.9
2022-01-29,Warangal,Nallabelly,0.0,10.0,26.3,31.0,84.5,0.0,8.4
2022-01-30,Warangal,Nallabelly,0.0,11.1,28.7,30.6,95.4,0.0,5.5
2022-01-31,Warangal,Nallabelly,0.0,11.8,29.9,29.4,91.6,0.0,10.2
2022-02-01,Warangal,Nallabelly,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Warangal,Nallabelly,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Warangal,Nallabelly,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Warangal,Nallabelly,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Warangal,Nallabelly,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Warangal,Nallabelly,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Warangal,Nallabelly,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Warangal,Nallabelly,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Warangal,Nallabelly,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Warangal,Nallabelly,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Warangal,Nallabelly,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Warangal,Nallabelly,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Warangal,Nallabelly,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Warangal,Nallabelly,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Warangal,Nallabelly,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Warangal,Nallabelly,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Warangal,Nallabelly,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Warangal,Nallabelly,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Warangal,Nallabelly,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Warangal,Nallabelly,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Warangal,Nallabelly,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Warangal,Nallabelly,0.0,10.2,39.2,7.2,100.0,0.0,65.1
