Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Warangal,Narsampet,0.0,17.3,29.2,54.8,100.0,0.0,0.1
2022-01-02,Warangal,Narsampet,0.0,18.0,31.1,46.1,100.0,0.0,0.1
2022-01-03,Warangal,Narsampet,0.0,15.9,29.8,39.9,100.0,0.0,2.7
2022-01-04,Warangal,Narsampet,0.0,16.3,30.2,41.6,100.0,0.0,4.6
2022-01-05,Warangal,Narsampet,0.0,17.2,30.6,45.8,100.0,0.0,2.3
2022-01-06,Warangal,Narsampet,0.0,16.9,30.3,50.1,100.0,0.0,2.5
2022-01-07,Warangal,Narsampet,0.0,16.4,29.7,41.9,100.0,0.0,6.6
2022-01-08,Warangal,Narsampet,0.0,18.2,28.9,51.0,100.0,0.0,13.9
2022-01-09,Warangal,Narsampet,0.0,19.0,28.9,55.3,100.0,0.0,13.3
2022-01-10,Warangal,Narsampet,0.0,19.4,28.5,68.2,100.0,0.2,11.7
2022-01-11,Warangal,Narsampet,46.9,19.2,28.4,68.1,100.0,0.0,13.5
2022-01-12,Warangal,Narsampet,53.6,18.7,28.4,71.6,100.0,0.0,12.7
2022-01-13,Warangal,Narsampet,26.0,20.0,25.6,89.7,100.0,0.0,14.2
2022-01-14,Warangal,Narsampet,8.9,19.7,26.1,90.8,100.0,0.0,3.7
2022-01-15,Warangal,Narsampet,0.4,19.3,28.2,75.6,100.0,0.0,9.7
2022-01-16,Warangal,Narsampet,0.0,18.8,28.5,98.4,100.0,0.0,2.9
2022-01-17,Warangal,Narsampet,0.0,18.8,27.0,82.4,99.6,0.0,3.7
2022-01-18,Warangal,Narsampet,0.0,17.4,28.1,70.5,100.0,0.0,0.7
2022-01-19,Warangal,Narsampet,0.0,16.6,29.6,53.7,100.0,0.0,7.1
2022-01-20,Warangal,Narsampet,0.0,16.2,28.9,51.8,100.0,0.0,4.6
2022-01-21,Warangal,Narsampet,0.0,17.4,32.3,37.4,100.0,0.0,4.3
2022-01-22,Warangal,Narsampet,0.0,17.1,30.1,41.4,100.0,0.0,0.1
2022-01-23,Warangal,Narsampet,0.0,20.2,29.8,51.8,100.0,0.0,9.6
2022-01-24,Warangal,Narsampet,0.0,18.0,29.7,44.7,100.0,0.0,0.1
2022-01-25,Warangal,Narsampet,0.0,16.3,26.9,43.2,88.3,0.0,1.1
2022-01-26,Warangal,Narsampet,0.0,16.6,29.0,37.6,92.4,0.0,0.1
2022-01-27,Warangal,Narsampet,0.0,16.1,29.2,38.8,88.8,0.0,0.1
2022-01-28,Warangal,Narsampet,0.0,13.6,27.3,33.8,83.6,0.0,5.4
2022-01-29,Warangal,Narsampet,0.0,12.3,27.0,20.6,81.5,0.0,0.2
2022-01-30,Warangal,Narsampet,0.0,12.7,29.0,22.9,100.0,0.0,5.0
2022-01-31,Warangal,Narsampet,0.0,12.8,29.8,19.8,100.0,0.0,7.4
2022-02-01,Warangal,Narsampet,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Warangal,Narsampet,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Warangal,Narsampet,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Warangal,Narsampet,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Warangal,Narsampet,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Warangal,Narsampet,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Warangal,Narsampet,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Warangal,Narsampet,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Warangal,Narsampet,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Warangal,Narsampet,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Warangal,Narsampet,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Warangal,Narsampet,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Warangal,Narsampet,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Warangal,Narsampet,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Warangal,Narsampet,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Warangal,Narsampet,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Warangal,Narsampet,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Warangal,Narsampet,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Warangal,Narsampet,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Warangal,Narsampet,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Warangal,Narsampet,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Warangal,Narsampet,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Warangal,Narsampet,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Warangal,Narsampet,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Warangal,Narsampet,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Warangal,Narsampet,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Warangal,Narsampet,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Warangal,Narsampet,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Warangal,Narsampet,0.0,18.3,33.0,22.6,100.0,0.0,10.2
2022-03-02,Warangal,Narsampet,0.0,19.1,34.9,24.1,100.0,0.0,8.1
2022-03-03,Warangal,Narsampet,0.0,19.9,34.1,24.8,96.9,0.0,5.9
2022-03-04,Warangal,Narsampet,0.0,19.6,33.0,34.7,100.0,0.0,9.8
2022-03-05,Warangal,Narsampet,0.0,19.9,35.0,21.2,99.0,0.0,8.8
2022-03-06,Warangal,Narsampet,0.0,19.8,33.1,32.6,98.5,0.0,4.4
2022-03-07,Warangal,Narsampet,0.0,20.7,34.1,37.1,100.0,0.0,2.5
2022-03-08,Warangal,Narsampet,0.0,21.4,34.6,29.7,87.7,0.0,0.1
2022-03-09,Warangal,Narsampet,0.0,20.3,36.0,25.7,100.0,0.0,7.1
2022-03-10,Warangal,Narsampet,0.0,21.1,35.4,28.6,100.0,0.0,5.0
2022-03-11,Warangal,Narsampet,0.0,21.7,33.7,36.5,95.2,0.0,8.4
2022-03-12,Warangal,Narsampet,0.8,21.2,33.6,29.3,95.4,0.0,8.6
2022-03-13,Warangal,Narsampet,0.0,22.8,33.4,31.6,83.5,0.0,6.8
2022-03-14,Warangal,Narsampet,0.0,19.5,35.2,17.8,99.0,0.0,9.6
2022-03-15,Warangal,Narsampet,0.0,19.1,35.3,10.9,98.2,0.0,11.3
2022-03-16,Warangal,Narsampet,0.0,20.2,36.5,11.7,85.5,0.0,6.6
2022-03-17,Warangal,Narsampet,0.0,21.2,38.0,17.0,91.7,0.0,7.0
2022-03-18,Warangal,Narsampet,0.0,22.7,39.1,7.5,100.0,0.0,15.0
2022-03-19,Warangal,Narsampet,0.0,23.0,35.2,41.7,91.3,0.0,5.0
2022-03-20,Warangal,Narsampet,0.0,23.8,34.1,35.3,75.0,0.0,12.0
2022-03-21,Warangal,Narsampet,0.0,25.1,35.7,47.1,94.5,0.0,3.2
2022-03-22,Warangal,Narsampet,0.0,23.3,35.9,40.7,92.4,0.0,19.8
2022-03-23,Warangal,Narsampet,0.0,24.5,36.6,44.0,100.0,0.0,10.2
2022-03-24,Warangal,Narsampet,0.0,23.9,37.3,44.2,100.0,0.0,16.7
2022-03-25,Warangal,Narsampet,0.0,23.8,34.3,56.3,100.0,0.0,13.6
2022-03-26,Warangal,Narsampet,0.0,23.8,33.9,51.4,100.0,0.0,10.8
2022-03-27,Warangal,Narsampet,0.0,24.0,34.8,55.3,100.0,0.0,13.9
