Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Warangal,Wardhannapet,0.0,16.7,29.4,55.6,100.0,0.1,4.6
2022-01-02,Warangal,Wardhannapet,0.0,16.8,29.8,60.1,100.0,0.0,4.2
2022-01-03,Warangal,Wardhannapet,0.0,14.7,29.7,48.8,100.0,0.0,4.1
2022-01-04,Warangal,Wardhannapet,0.0,15.1,30.8,47.0,100.0,0.0,4.9
2022-01-05,Warangal,Wardhannapet,0.0,16.4,29.4,56.1,100.0,0.0,4.0
2022-01-06,Warangal,Wardhannapet,0.0,15.3,29.7,53.0,100.0,0.0,2.7
2022-01-07,Warangal,Wardhannapet,0.0,14.3,30.5,48.1,100.0,0.0,2.7
2022-01-08,Warangal,Wardhannapet,0.0,17.3,30.0,57.1,100.0,0.0,4.6
2022-01-09,Warangal,Wardhannapet,0.0,18.9,29.9,60.6,100.0,0.0,4.3
2022-01-10,Warangal,Wardhannapet,0.0,18.8,29.6,63.1,100.0,0.1,4.2
2022-01-11,Warangal,Wardhannapet,30.8,19.6,29.3,66.5,100.0,0.1,4.0
2022-01-12,Warangal,Wardhannapet,11.8,19.7,30.2,65.0,100.0,0.0,4.2
2022-01-13,Warangal,Wardhannapet,24.6,19.0,26.8,88.5,100.0,0.0,5.6
2022-01-14,Warangal,Wardhannapet,2.2,19.2,24.4,98.4,100.0,0.0,3.2
2022-01-15,Warangal,Wardhannapet,0.0,21.0,28.8,72.7,100.0,0.0,2.8
2022-01-16,Warangal,Wardhannapet,0.0,19.5,27.9,92.6,100.0,0.8,6.9
2022-01-17,Warangal,Wardhannapet,0.0,18.9,27.3,95.7,100.0,0.0,7.0
2022-01-18,Warangal,Wardhannapet,0.0,18.4,27.9,65.4,100.0,0.0,3.7
2022-01-19,Warangal,Wardhannapet,0.0,17.3,30.8,52.1,100.0,0.0,4.5
2022-01-20,Warangal,Wardhannapet,0.0,16.7,29.2,53.6,100.0,0.0,3.9
2022-01-21,Warangal,Wardhannapet,0.0,17.5,30.3,50.4,100.0,0.0,2.8
2022-01-22,Warangal,Wardhannapet,0.0,17.4,30.7,48.1,100.0,0.0,5.1
2022-01-23,Warangal,Wardhannapet,0.0,19.9,31.3,55.5,100.0,0.0,2.9
2022-01-24,Warangal,Wardhannapet,0.0,18.4,32.8,42.2,100.0,0.0,4.8
2022-01-25,Warangal,Wardhannapet,0.0,16.8,27.7,49.4,100.0,1.5,7.0
2022-01-26,Warangal,Wardhannapet,0.0,17.1,28.8,46.0,95.9,0.0,4.9
2022-01-27,Warangal,Wardhannapet,0.0,17.1,29.2,48.3,81.1,0.0,4.9
2022-01-28,Warangal,Wardhannapet,0.0,14.9,27.9,43.8,83.5,0.8,5.8
2022-01-29,Warangal,Wardhannapet,0.0,11.3,27.4,28.1,100.0,0.0,6.5
2022-01-30,Warangal,Wardhannapet,0.0,13.3,28.7,33.5,84.3,0.0,4.5
2022-01-31,Warangal,Wardhannapet,0.0,13.4,31.0,25.7,89.3,0.0,4.2
2022-02-01,Warangal,Wardhannapet,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Warangal,Wardhannapet,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Warangal,Wardhannapet,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Warangal,Wardhannapet,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Warangal,Wardhannapet,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Warangal,Wardhannapet,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Warangal,Wardhannapet,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Warangal,Wardhannapet,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Warangal,Wardhannapet,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Warangal,Wardhannapet,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Warangal,Wardhannapet,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Warangal,Wardhannapet,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Warangal,Wardhannapet,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Warangal,Wardhannapet,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Warangal,Wardhannapet,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Warangal,Wardhannapet,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Warangal,Wardhannapet,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Warangal,Wardhannapet,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Warangal,Wardhannapet,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Warangal,Wardhannapet,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Warangal,Wardhannapet,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Warangal,Wardhannapet,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Warangal,Wardhannapet,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Warangal,Wardhannapet,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Warangal,Wardhannapet,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Warangal,Wardhannapet,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Warangal,Wardhannapet,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Warangal,Wardhannapet,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Warangal,Wardhannapet,0.0,16.4,34.1,23.5,100.0,0.0,3.4
